year,month,day,TAVG,TMAX,TMIN,,,0,,,
1882,3,20,9.1,15.3,1.8,,,,,,
1882,3,21,7.3,14.2,-1.6,,,,,,
1882,3,22,7,13.7,-1.6,,,,,,
1882,3,23,4.9,9.5,0.9,,,,,,
1882,3,24,3.7,8.9,0.3,,,,,,
1882,3,25,6,13.2,0.3,,,,,,
1882,3,26,7.9,14.1,1.1,,,,,,
1882,3,27,6.2,14.1,-0.1,,,,,,
1882,3,28,6,11.1,-1.1,,,,,,
1882,3,29,6.8,13.1,-1.1,,,,,,
1882,3,30,7,15.2,-0.9,,,,,,
1882,3,31,9.2,15.2,-0.9,,,,,,
1882,4,1,11.7,18.1,-0.5,,,,,,
1882,4,2,12.6,19.3,8.4,,,,,,
1882,4,3,13.1,19.3,8.4,,,,,,
1882,4,4,13.9,16,12.1,,,,,,
1882,4,5,11.5,16,3.7,,,,,,
1882,4,6,8.1,14.4,1.7,,,,,,
1882,4,7,7.8,17.3,-0.6,,,,,,
1882,4,8,10.1,17.4,-0.6,,,,,,
1882,4,9,12.1,18.9,1.5,,,,,,
1882,4,10,11.8,21.3,2.2,,,,,,
1882,4,11,15.1,23.9,2.2,,,,,,
1882,4,12,17.1,23.9,6.2,,,,,,
1882,4,13,14.5,17.2,10.6,,,,,,
1882,4,14,11.9,17.2,7.3,,,,,,
1882,4,15,9.2,14.6,1.2,,,,,,
1882,4,16,7.9,15.4,0.5,,,,,,
1882,4,17,9.2,18.9,0.5,,,,,,
1882,4,18,11.3,20.6,1,,,,,,
1882,4,19,12.8,22.5,3.4,,,,,,
1882,4,20,14.1,22.9,4.2,,,,,,
1882,4,21,16,22.9,5.6,,,,,,
1882,4,22,16.3,22.2,7.9,,,,,,
1882,4,23,16.3,22.4,8.4,,,,,,
1882,4,24,15.8,22.4,7.3,,,,,,
1882,4,25,13.8,21.3,4.6,,,,,,
1882,4,26,14.1,23.9,4.6,,,,,,
1882,4,27,15.6,23.9,4.8,,,,,,
1882,4,28,16.7,19.7,10.8,,,,,,
1882,4,29,16.3,21.3,9.4,,,,,,
1882,4,30,13.6,21.3,5.1,,,,,,
1883,1,1,5.5,12.8,-4.2,,,,,,
1883,1,2,3.3,10.4,-2.8,,,,,,
1883,1,3,1.9,6.4,-2.8,,,,,,
1883,1,4,1.8,8.5,-3.7,,,,,,
1883,1,5,1.5,9.7,-5.4,,,,,,
1883,1,6,1.3,9.7,-5.4,,,,,,
1883,1,7,1,7.9,-6.2,,,,,,
1883,1,8,2.2,10.6,-6.2,,,,,,
1883,1,9,2.9,10.6,-2.9,,,,,,
1883,1,10,1.9,10.1,-3.2,,,,,,
1883,1,11,2.8,11.3,-4.9,,,,,,
1883,1,12,3.6,11.3,-4.9,,,,,,
1883,1,13,2.9,9,-2.7,,,,,,
1883,1,14,2.8,6.8,-2.4,,,,,,
1883,1,15,2.5,9.4,-4.6,,,,,,
1883,1,16,2.4,11,-4.6,,,,,,
1883,1,17,1.2,11,-4.9,,,,,,
1883,1,18,-1.8,4.5,-6.4,,,,,,
1883,1,19,-2.2,2.1,-6.6,,,,,,
1883,1,20,-1.2,2.1,-6.6,,,,,,
1883,1,21,-0.2,4.6,-5,,,,,,
1883,1,22,1.4,9.8,-4.2,,,,,,
1883,1,23,2.3,10.1,-4.6,,,,,,
1883,1,24,3.1,10.1,-4.6,,,,,,
1883,1,25,5,8.9,0.1,,,,,,
1883,1,26,6.9,10.1,3.1,,,,,,
1883,1,27,5.2,10.1,-0.2,,,,,,
1883,1,28,2.1,6.6,-1.7,,,,,,
1883,1,29,0.9,5.3,-3.1,,,,,,
1883,1,30,3,11.1,-3.8,,,,,,
1883,1,31,5.3,11.1,-3.8,,,,,,
1883,2,1,3.1,9.6,-1.3,,,,,,
1883,2,2,1.7,7.6,-1.4,,,,,,
1883,2,3,1.9,7.6,-3.2,,,,,,
1883,2,4,1.3,7.8,-4.8,,,,,,
1883,2,5,1.7,10.1,-5.1,,,,,,
1883,2,6,2.2,10.1,-5.1,,,,,,
